id	# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCF_000009085_1	GCF_000009085.1	PRJNA57587	SAMEA1705929		reference genome	192222	197	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	strain=NCTC 11168		latest	Complete Genome	Major	Full	2003/05/06	ASM908v1	Sanger Institute	GCA_000009085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/085/GCF_000009085.1_ASM908v1		
GCF_000011865_1	GCF_000011865.1	PRJNA224116	SAMN02604007		na	195099	197	Campylobacter jejuni RM1221	strain=RM1221		latest	Complete Genome	Major	Full	2005/01/06	ASM1186v1	TIGR	GCA_000011865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/865/GCF_000011865.1_ASM1186v1		
GCF_000015525_1	GCF_000015525.1	PRJNA224116	SAMN02604044		na	354242	197	Campylobacter jejuni subsp. jejuni 81-176	strain=81-176		latest	Complete Genome	Major	Full	2007/01/09	ASM1552v1	TIGR	GCA_000015525.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/015/525/GCF_000015525.1_ASM1552v1		
GCF_000017905_1	GCF_000017905.1	PRJNA224116	SAMN02603008		na	407148	197	Campylobacter jejuni subsp. jejuni 81116	strain=81116; NCTC 11828		latest	Complete Genome	Major	Full	2007/09/20	ASM1790v1	BBSRC Institute of Food Research	GCA_000017905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/905/GCF_000017905.1_ASM1790v1		
GCF_000025425_1	GCF_000025425.1	PRJNA224116	SAMN02603425		na	567106	197	Campylobacter jejuni subsp. jejuni IA3902		IA3902	latest	Complete Genome	Major	Full	2010/01/29	ASM2542v1	Iowa State University	GCA_000025425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/425/GCF_000025425.1_ASM2542v1		
GCF_000148705_1	GCF_000148705.1	PRJNA224116	SAMN02603174		na	645464	197	Campylobacter jejuni subsp. jejuni M1	strain=M1		latest	Complete Genome	Major	Full	2010/09/28	ASM14870v1	Danish Technical University	GCA_000148705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/705/GCF_000148705.1_ASM14870v1		
GCF_000171795_2	GCF_000171795.2	PRJNA224116	SAMN02470701		na	478547	197	Campylobacter jejuni subsp. jejuni CG8421	strain=CG8421		latest	Complete Genome	Major	Full	2014/05/01	ASM17179v2	Naval Medical Research Center	GCA_000171795.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/171/795/GCF_000171795.2_ASM17179v2		
GCF_000184205_1	GCF_000184205.1	PRJNA224116	SAMN02603954		na	718271	197	Campylobacter jejuni subsp. jejuni S3	strain=S3		latest	Complete Genome	Major	Full	2010/12/14	ASM18420v1	The University of Arizona, Department of Veterinary Science & Microbiology	GCA_000184205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/184/205/GCF_000184205.1_ASM18420v1		
GCF_000302555_5	GCF_000302555.5	PRJNA224116	SAMN02604234		na	1201032	197	Campylobacter jejuni subsp. jejuni PT14	strain=PT14		latest	Complete Genome	Minor	Full	2016/04/04	ASM30255v4	University of Nottingham	GCA_000302555.4	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/302/555/GCF_000302555.5_ASM30255v4		
GCF_000304375_1	GCF_000304375.1	PRJNA224116	SAMEA2271917		na	1211776	197	Campylobacter jejuni subsp. jejuni NCTC 11168-BN148	strain=NCTC 11168-BN148		latest	Complete Genome	Major	Full	2012/08/20	AINO	University of Helsinki	GCA_000304375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/304/375/GCF_000304375.1_AINO		
